seed,task,context,model,sampler,kl,tv,invalid_rate,sampled_invalid_rate,edge_precision,edge_recall,edge_f1,predicted_edges,true_edges
1,ambiguous_pairs,0,factorized,independent_marginals,0.6931874642758976,0.49997985854771276,0.49997985854771276,0.49960000000000004,0.0,0.0,0.0,[],"[[0, 1]]"
1,ambiguous_pairs,0,parameter_matched_independent,independent_marginals,0.6931874642758976,0.49997985854771276,0.49997985854771276,0.50415,0.0,0.0,0.0,[],"[[0, 1]]"
1,ambiguous_pairs,0,natural_chain,ancestral_joint,0.0001421898229778673,0.003234073712472613,0.0001220405174517942,0.00014999999999998348,1.0,1.0,1.0,"[[0, 1]]","[[0, 1]]"
1,ambiguous_pairs,0,static_forest,ancestral_joint,0.0001421898229778673,0.003234073712472613,0.0001220405174517942,9.999999999998899e-05,1.0,1.0,1.0,"[[0, 1]]","[[0, 1]]"
1,ambiguous_pairs,0,fixed_topology_dynamic_factors,ancestral_joint,0.0001421898229778673,0.003234073712472613,0.0001220405174517942,9.999999999998899e-05,1.0,1.0,1.0,"[[0, 1]]","[[0, 1]]"
1,ambiguous_pairs,0,dynamic_topology_fixed_factors,ancestral_joint,0.00014219965566680814,0.003234848194035688,0.00012204051625180766,0.0,1.0,1.0,1.0,"[[0, 1]]","[[0, 1]]"
1,ambiguous_pairs,0,contextual_forest,ancestral_joint,0.0001421898229778673,0.003234073712472613,0.0001220405174517942,0.00014999999999998348,1.0,1.0,1.0,"[[0, 1]]","[[0, 1]]"
1,markov_025,0,factorized,independent_marginals,0.4182584451987019,0.35717193561984584,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_025,0,parameter_matched_independent,independent_marginals,0.4182584451987019,0.35717193561984584,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_025,0,natural_chain,ancestral_joint,0.006431099992040381,0.045686250582416044,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_025,0,static_forest,ancestral_joint,0.006431099992040381,0.045686250582416044,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_025,0,fixed_topology_dynamic_factors,ancestral_joint,0.006431099992040381,0.045686250582416044,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_025,0,dynamic_topology_fixed_factors,ancestral_joint,0.003168762683887767,0.03201666948937048,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_025,0,contextual_forest,ancestral_joint,0.006431099992040381,0.045686250582416044,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_050,0,factorized,independent_marginals,1.5645857113055712,0.6212390573999583,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_050,0,parameter_matched_independent,independent_marginals,1.5645857113055712,0.6212390573999583,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_050,0,natural_chain,ancestral_joint,0.004563927809450486,0.036784784980298704,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_050,0,static_forest,ancestral_joint,0.004563927809450486,0.036784784980298704,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_050,0,fixed_topology_dynamic_factors,ancestral_joint,0.004563927809450486,0.036784784980298704,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_050,0,dynamic_topology_fixed_factors,ancestral_joint,0.0011857762674706875,0.019370984426568674,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_050,0,contextual_forest,ancestral_joint,0.004563927809450486,0.036784784980298704,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_075,0,factorized,independent_marginals,3.4898446163774635,0.8476140962408523,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_075,0,parameter_matched_independent,independent_marginals,3.4898446163774635,0.8476140962408523,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_075,0,natural_chain,ancestral_joint,0.004134413387368566,0.03251372785307876,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
